left_entity_id,left_name,right_business_id,right_name,confidence,
80463,susan nails 3023 lemay ferry rd,49854,susan nails 3023 lemay ferry rd,1,
39148,h2o laundromat 8207 stenton ave,77522,h2o laundromat 8207 stenton ave,1,
38470,optical expressions 12422 olive blvd,36830,optical expressions 12422 olive blvd,1,
80480,haas salon 4261 henderson blvd,9072,haas salon 4261 henderson blvd,1,
15855,habanero grill 2543 lebanon pike,90306,habanero grill 2543 lebanon pike,1,
27023,southwest diner 6803 southwest ave,37139,southwest diner lp 6803 southwest ave,1,
15540,hafiz sisters beauty supply 59 w chelten ave,76001,hafiz sisters beauty supply 59 w chelten ave,1,
51337,hair buzz 1575 n 52nd st ste 704,65558,hair buzz 1575 n 52nd st ste 704,1,
58134,hair gallery 4160 monument rd,75880,jes hair gallery 4160 monument rd,1,
82376,the official barbershop clearwater 2783 gulf to bay blvd,7662,the official barbershop clearwater 2783 gulf to bay blvd,1,
60185,hair solutions of tampa 2024 w cleveland st,21192,hair solutions of tampa 2024 w cleveland st,1,
29279,hair therapy for women 14027 n dale mabry hwy,5276,hair therapy for women 14027 n dale mabry hwy,1,
8015,haircut n beyond 155 e bloomingdale ave,17004,haircut n beyond 155 e bloomingdale ave,1,
53675,plum tree garden 2034 e old lincoln hwy,68002,new plum tree garden 2034 e old lincoln hwy,1,
8954,plowsharing crafts 6271 delmar blvd,46260,plowsharing crafts 6271 delmar blvd,1,
6085,ham  bone 1824 frankford ave,79469,ham and bone 1824 frankford ave,1,
59263,hammerstones 2028 s 9th st,37123,hammerstones 2028 9th st s,1,
9333,han dynasty 260 n pottstown pike,57823,han dynasty 260 n pottstown pike,1,
24117,han way 1135 missouri ave n,21014,han way 1135 missouri ave n,1,
34908,meridian street cafe 1800 dickerson pike,89409,meridian street cafe 1800 dickerson pike,1,
41700,gyro star 3642 bell rd,91575,gyro star 3642 bell rd,1,
48009,gyro plus 2647 murfreesboro pike,91489,gyro plus 2647 murfreesboro pike,1,
56558,the painted plate 104 w market st,79964,the painted plate 104 w market st,1,
69137,grishams transmission center 4106 gallatin pike,88036,grishams transmission center 4106 gallatin pike,1,
47573,groom  board 1733 reed st,66072,groom  board 1733 reed st,1,
8351,grooming by house of phideau 6925 hampton ave,49311,grooming by house of phideau 6925 hampton ave,1,
10787,groomingdales 6041 chippewa,48659,groomingdales 6041 chippewa,1,
80398,mestichelli barnes dental associates 1903 s broad st,52289,mestichelli barnes dental associates 1903 s broad st,1,
